BENNER,ESTOQUE,ANAMNESE,MICRO,MONITO,MOUSE,ACESS,ERRO,IMPRESSORA,SIHOSP,TEMPO
0,0,0,0,0,0,0,0,5.1,0,MAIOR 4H
0,0,0,0,0,0,1.08,0,0,0,1-2H
7.09,0,0,0,0,0,0,7.09,0,0,MAIOR 4H
0,0,0,0,0,0,0,0,11.25,0,MAIOR 4H
3.97,0,0,0,0,0,0,3.97,0,0,2-4H
0,0,0,1.24,0,0,0,0,0,0,1-2H
0,0,0,0,10.19,0,0,0,0,0,MAIOR 4H
0,0,0,0,0,0,0,8.1,0,0,MAIOR 4H
0,0,0,0,0,0,0,0,6.35,0,MAIOR 4H
0,0,0,0,0,0,0,0,6.2,0,MAIOR 4H
0,0,0,1.02,0,0,1.02,0,0,0,1-2H
0,0,0,0,0,0,1.18,0,0,1.18,1-2H
1.13,0,0,0,0,0,0,0,0,0,1-2H
0,0,0,0,0,0,0,1.13,0,0,1-2H
7.94,0,0,0,0,0,0,7.94,0,0,MAIOR 4H
0,3.96,0,0,0,0,0,3.96,0,0,2-4H
0,0,0,0,0,0,4.15,0,0,0,MAIOR 4H
3.87,0,0,0,0,0,0,0,0,0,2-4H
0,0,0,0,0,0,0,0,2.95,0,2-4H
4.98,0,0,0,0,0,0,0,0,0,MAIOR 4H
0,0,0,4.22,0,0,0,0,0,0,MAIOR 4H
0,0,0,3.25,0,0,0,0,0,0,2-4H
0,0,0,0,0,0,3.14,0,0,0,2-4H
0,0,0,0,0,0,0,7.06,0,0,MAIOR 4H
0,0,0,0,0,0,1.08,0,0,0,1-2H
0,0,0,0,0,0,0,0,8.18,0,MAIOR 4H
0,0,0,0,0,0,0,4.16,0,0,MAIOR 4H
0,0,0,0,0,0,0,0,4.18,0,MAIOR 4H
0,0,0,10.99,0,0,0,10.99,0,0,MAIOR 4H
0,0,0,0,0,0,2.22,0,0,0,2-4H
0,0,0,1.01,0,0,0,0,0,0,1-2H
0,0,0,0,0,2.12,0,0,0,0,2-4H
0,0,0,1.11,0,0,0,0,0,0,1-2H
0,0,0,0,0,0,0,2.29,0,0,2-4H
0,0,0,0,0,0,0,1.95,0,0,1-2H
0,0,0,0,0,0,0,0,1.3,0,1-2H
0,0,0,0,0,0,0,0,5.23,0,MAIOR 4H
0,0,0,0,0,0,0,0,0,3.94,2-4H
0,0,0,5.72,0,0,0,5.72,0,0,MAIOR 4H
0,0,0,0,0,0,7.18,0,0,0,MAIOR 4H
0,0,0,0,0,0,0,0,0,6.88,MAIOR 4H
0,0,0,0,0,0,5.32,0,0,5.32,MAIOR 4H
0,0,0,0,0,0,0,6.06,0,0,MAIOR 4H
6.76,0,0,0,0,0,0,0,0,0,MAIOR 4H
0,0,0,1.2,0,0,0,0,1.2,0,1-2H
3.91,0,0,0,0,0,0,0,0,0,2-4H
0,0,0,0,0,0,3.03,0,0,0,2-4H
0,0,0,0,0,0,0,4.19,0,0,MAIOR 4H
0,0,0,0,0,0,0,6.16,0,0,MAIOR 4H
0,0,0,0,0,0,0,11.92,0,0,MAIOR 4H
0,0,0,0,0,0,0,3.79,0,0,2-4H
0,0,0,0,0,0,0,5.05,0,0,MAIOR 4H
0,0,0,1.08,0,0,0,0,0,0,1-2H
0,0,0,0,0,0,0,0,4.73,0,MAIOR 4H
0,0,0,0,7.03,0,0,0,0,0,MAIOR 4H
0,0,0,0,0,0,3.03,0,0,0,2-4H
0,0,0,5.94,0,0,0,0,0,0,MAIOR 4H
2.82,0,0,0,0,0,0,0,0,0,2-4H
0,0,0,0,4.76,0,0,0,0,0,MAIOR 4H
0,0,0,0,0,0,0,0,0,2.1,2-4H
0,2.73,0,0,0,0,0,0,0,0,2-4H
0,0,0,0,0,0,0,7.02,0,0,MAIOR 4H
0,0,0,1.18,0,0,0,0,0,0,1-2H
0,0,0,0,0,0,8.15,0,0,0,MAIOR 4H
2.97,0,0,0,0,0,0,2.97,0,0,2-4H
0,0,0,0,0,0,6.66,0,0,0,MAIOR 4H
0,0,0,0,0,0,0,0,0,2.78,2-4H
0,0,0,0,0,0,0,0,6.98,0,MAIOR 4H
0,0,0,1.23,0,0,0,0,0,0,1-2H
0,0,0,1.99,0,0,0,0,0,0,1-2H
3.1,0,0,0,0,0,3.1,0,0,0,2-4H
0,0,0,0,0,0,3.96,0,0,0,2-4H
0,0,0,0,0,0,0,2.72,0,0,2-4H
0,0,0,0,0,0,0,5.97,0,0,MAIOR 4H
0,0,0,5.01,0,0,0,0,0,0,MAIOR 4H
11.01,0,0,11.01,0,0,0,0,0,0,MAIOR 4H
0,0,0,9.98,0,0,0,0,0,0,MAIOR 4H
0,1.94,0,0,0,0,0,0,0,0,1-2H
7.02,0,0,0,0,0,0,0,0,0,MAIOR 4H
0,0,0,0,0,0,2.23,0,0,0,2-4H
0,0,0,0,0,0,4,0,0,0,MAIOR 4H
0,0,0,0,0,0,6.96,0,0,0,MAIOR 4H
2.82,0,0,0,0,0,0,0,0,0,2-4H
0,0,0,0,0,0,0,0,3.85,0,2-4H
0,0,0,0,0,0,0,2.84,0,0,2-4H
0,0,0,0,0,0,7.07,0,0,0,MAIOR 4H
0,0,0,0,6.75,6.75,0,0,0,0,MAIOR 4H
0,0,0,0,0,0,1.28,0,0,0,1-2H
0,0,0,0,0,0,1.07,0,0,0,1-2H
0,1.14,0,0,0,0,0,1.14,0,0,1-2H
4.63,0,0,0,0,0,0,0,0,0,MAIOR 4H
5.09,0,0,0,0,0,0,5.09,0,0,MAIOR 4H
0,0,0,0,0,0,0,0,6.21,0,MAIOR 4H
0,0,0,0,0,0,0,0,0,8.07,MAIOR 4H
0,0,0,5.72,0,0,0,0,0,0,MAIOR 4H
0,0,0,5.81,0,0,0,0,0,0,MAIOR 4H
0,0,0,3.98,0,0,0,0,0,0,2-4H
0,0,0,3.74,0,0,0,0,0,0,2-4H
0,0,0,0,0,0,4.81,0,0,0,MAIOR 4H
0,0,0,0,0,0,0,0,6.12,0,MAIOR 4H
0,0,0,0,0,0,0,0,0,1.31,1-2H
0,0,0,0,0,0,1.78,0,0,0,1-2H
0,0,0,0,0,0,1.18,0,0,0,1-2H
3.88,0,0,3.88,0,0,0,0,0,0,2-4H
0,0,0,0,0,0,1.09,0,0,1.09,1-2H
0,0,0,0,0,0,1.26,0,0,0,1-2H
0,0,0,0,0,0,3.19,0,0,3.19,2-4H
0,0,0,0,0,0,1.26,0,0,0,1-2H
0,0,0,0,0,0,1.18,0,0,1.18,1-2H
8.16,0,0,0,0,0,0,0,0,0,MAIOR 4H
0,0,0,2.86,0,0,2.86,0,0,0,2-4H
0,0,0,9.24,0,0,0,0,0,0,MAIOR 4H
0,0,0,9.21,0,0,0,0,0,0,MAIOR 4H
0,0,0,4.17,0,0,0,0,0,4.17,MAIOR 4H
0,0,0,8.99,0,0,8.99,0,0,0,MAIOR 4H
2.18,0,0,0,0,0,0,0,0,0,2-4H
0,0,0,1.02,0,0,0,0,0,0,1-2H
1.92,0,0,0,0,0,1.92,0,0,0,1-2H
0,0,0,0,0,0,0,0,0,7.72,MAIOR 4H
0,0,0,0,0,0,0,0,0,9.31,MAIOR 4H
8.27,0,0,0,0,0,8.27,0,0,0,MAIOR 4H
0,0,0,0,0,0,6.21,0,0,0,MAIOR 4H
0,0,0,0,0,0,8.24,0,0,0,MAIOR 4H
0,0,0,0,0,0,6.02,0,0,0,MAIOR 4H
0,0,0,5.85,0,0,0,0,0,0,MAIOR 4H
0,0,0,0,0,0,0,0,0,1.11,1-2H
0,0,0,0,0,0,11,0,0,0,MAIOR 4H
2.91,0,0,0,0,0,0,0,0,0,2-4H
6.89,0,0,0,0,0,0,0,0,0,MAIOR 4H
0,0,0,0,0,0,0,6.89,0,0,MAIOR 4H
0,0,0,0,0,0,0,8.02,0,0,MAIOR 4H
5.17,0,0,0,0,0,5.17,0,0,0,MAIOR 4H
1.23,0,0,0,0,0,0,0,0,0,1-2H
0,0,0,0,0,0,0,7.84,0,0,MAIOR 4H
0,0,0,5.96,0,0,5.96,0,0,0,MAIOR 4H
0,0,0,0,0,0,0,1.98,0,0,1-2H
0,0,0,6,0,0,0,0,0,0,MAIOR 4H
0,0,0,0,0,0,0,0,0,4.59,MAIOR 4H
0,0,0,0,0,2.1,0,0,0,0,2-4H
0,0,0,0,0,0,0,0,1.79,0,1-2H
0,0,0,0,0,0,0,0,1.09,0,1-2H
0,0,0,0,0,0,4.92,0,0,0,MAIOR 4H
0,0,0,3.2,0,0,0,0,0,0,2-4H
0,0,0,3.27,0,0,0,0,0,0,2-4H
0,0,0,2.16,0,0,0,0,0,0,2-4H
6.92,0,0,0,0,0,0,0,0,0,MAIOR 4H
0,0,0,0,3.18,0,0,0,0,0,2-4H
0,0,0,2.77,0,2.77,0,0,0,0,2-4H
2.76,0,0,0,0,0,0,0,0,0,2-4H
0,0,0,1.04,0,0,0,0,0,0,1-2H
2.75,0,0,0,0,0,0,0,0,0,2-4H
0,0,0,0,1.19,0,0,0,0,0,1-2H
0,0,0,3.21,0,0,0,0,0,0,2-4H
0,0,0,0,0,0,3.66,0,0,0,2-4H
0,0,0,0,3.86,0,0,0,0,0,2-4H
0,0,0,0,0,0,0,0,0,10.76,MAIOR 4H
0,0,0,3.15,0,0,0,0,3.15,0,2-4H
0,0,0,0,0,0,0,1.06,0,0,1-2H
0,0,0,0,0,0,0,1.14,0,0,1-2H
0,0,0,0,2.86,0,0,0,0,0,2-4H
0,0,0,0,0,0,0,0,0,4.02,MAIOR 4H
0,0,0,4,0,0,0,0,0,0,2-4H
0,0,0,0,0,0,0,5.19,0,0,MAIOR 4H
0,0,0,0,0,0,0,1.1,0,0,1-2H
0,0,0,0,0,0,0,0,1.08,0,1-2H
0,0,0,0,1.03,0,0,0,0,0,1-2H
0,0,0,0,0,0,4.92,0,0,0,MAIOR 4H
0,0,0,1.07,0,0,0,0,0,0,1-2H
0,0,0,0,0,0,3.2,0,0,0,2-4H
8.91,0,0,0,0,0,0,0,0,0,MAIOR 4H
0,0,0,0,0,0,0,0,6.2,0,MAIOR 4H
0,0,0,0,0,2.02,0,0,0,0,2-4H
0,0,0,0,1.35,0,0,0,0,0,1-2H
0,0,0,5.89,0,0,0,0,0,0,MAIOR 4H
0,0,0,0,5.92,0,0,0,0,0,MAIOR 4H
8.99,0,0,0,0,0,0,0,0,0,MAIOR 4H
3.66,0,0,0,0,0,0,0,0,0,2-4H
0,0,0,0,0,0,0,0,1.26,0,1-2H
0,0,0,0,0,0,0,0,1.3,0,1-2H
0,0,0,1.98,0,0,0,0,0,0,1-2H
0,0,0,2.07,0,0,0,0,0,0,2-4H
4.58,0,0,0,0,0,0,0,0,0,MAIOR 4H
0,0,0,0,0,1.79,0,0,0,0,1-2H
0,0,0,0,0,0,7.89,0,0,7.89,MAIOR 4H
0,0,0,0,3.03,0,0,0,0,0,2-4H
0,0,0,0,3.16,0,0,0,0,0,2-4H
0,0,0,0,0,0,0,0,6.15,0,MAIOR 4H
0,0,0,0,0,0,3.01,0,0,0,2-4H
0,0,0,0,0,0,7.04,0,0,0,MAIOR 4H
0,0,0,2.98,0,2.98,0,0,0,0,2-4H
0,0,0,0,0,0,2.68,0,0,0,2-4H
0,0,0,0,0,0,0,0,4.03,0,MAIOR 4H
0,0,0,0,0,0,1.91,0,0,0,1-2H
0,0,0,0,0,0,0,0,1.21,0,1-2H
0,0,0,0,0,0,0,1.76,0,0,1-2H
6.2,0,0,0,0,0,0,0,0,0,MAIOR 4H
0,0,0,0,0,0,0,0,0,1.18,1-2H
0,0,0,0,1.32,0,0,0,0,0,1-2H
0,0,0,0,0,1.31,0,0,0,0,1-2H
8.22,0,0,0,0,0,0,0,0,0,MAIOR 4H
0,0,0,0,0,0,0,0,8,0,MAIOR 4H
0,0,0,1.14,0,0,0,0,0,0,1-2H
0,0,0,7.05,0,0,0,7.05,0,0,MAIOR 4H
5.07,0,0,0,0,0,0,0,0,0,MAIOR 4H
0,0,0,0,0,0,1.07,0,0,1.07,1-2H
0,0,0,2.26,0,0,0,0,0,0,2-4H
5.1,0,0,0,0,0,0,0,0,0,MAIOR 4H
0,0,0,2.04,0,0,0,0,0,0,2-4H
0,0,0,0,0,0,0,3.99,0,0,2-4H
0,0,0,0,0,0,0,3.96,0,0,2-4H
4.09,0,0,0,0,0,4.09,0,0,0,MAIOR 4H
0,0,0,1.08,0,0,0,0,0,0,1-2H
0,0,0,0,0,0,0,0,4.23,0,MAIOR 4H
0,0,0,0,0,0,0,0,3.8,0,2-4H
0,0,0,0,0,0,0,5.95,0,0,MAIOR 4H
0,5.76,0,0,0,0,0,0,0,0,MAIOR 4H
0,0,0,0,0,0,5.25,0,0,0,MAIOR 4H
1.95,0,0,0,0,0,0,0,0,0,1-2H
0,0,0,1.25,0,0,0,0,0,0,1-2H
0,0,0,0,0,0,0,0,0,4.29,MAIOR 4H
0,0,0,1.04,0,0,0,0,0,0,1-2H
0,0,0,0,0,0,1.17,0,0,0,1-2H
0,0,0,0,9.93,0,0,0,0,0,MAIOR 4H
0,0,0,0,0,0,3.74,0,0,3.74,2-4H
0,0,0,0,0,0,0,1.25,0,0,1-2H
0,0,0,0,0,0,1.25,0,0,0,1-2H
3.77,0,0,0,0,0,0,3.77,0,0,2-4H
0,4.89,0,0,0,0,0,4.89,0,0,MAIOR 4H
0,0,0,10.04,0,0,0,0,0,0,MAIOR 4H
0,0,0,6.27,0,0,0,0,0,0,MAIOR 4H
0,0,0,5.26,0,0,0,0,0,0,MAIOR 4H
0,0,0,6.77,0,0,0,0,0,0,MAIOR 4H
0,0,0,0,0,0,0,0,1.23,0,1-2H
0,0,0,0,0,0,0,0,0,5.95,MAIOR 4H
0,0,0,0,0,0,0,5.71,0,0,MAIOR 4H
4.05,0,0,0,0,0,0,0,0,0,MAIOR 4H
0,0,0,0,0,0,9.28,0,0,0,MAIOR 4H
7.11,0,0,0,0,0,7.11,0,0,0,MAIOR 4H
0,0,0,0,0,0,0,3.86,0,3.86,2-4H
0,0,0,0,0,0,0,7.01,0,0,MAIOR 4H
0,0,0,0,0,0,0,0,0,9.19,MAIOR 4H
0,0,0,0,0,0,6.07,0,0,0,MAIOR 4H
0,0,0,7.28,0,0,0,0,0,0,MAIOR 4H
0,0,0,0,0,0,8.14,0,0,0,MAIOR 4H
0,0,0,0,6.04,0,0,0,0,0,MAIOR 4H
1.96,0,0,0,0,0,0,0,0,0,1-2H
0,0,0,0,0,0,0,8.81,0,0,MAIOR 4H
0,0,0,0,0,0,1.83,0,0,0,1-2H
0,0,0,0,0,0,0,0,8.8,0,MAIOR 4H
0,0,0,3.35,0,0,0,0,0,0,2-4H
0,0,0,5.04,0,5.04,0,0,0,0,MAIOR 4H
10.29,0,0,0,0,0,0,0,0,0,MAIOR 4H
0,0,0,7.11,0,0,0,0,0,0,MAIOR 4H
0,0,0,11.14,0,0,0,0,0,0,MAIOR 4H
4.62,0,0,0,0,0,0,0,0,0,MAIOR 4H
0,0,0,0,0,0,3.3,0,0,0,2-4H
0,0,0,0,0,0,0,0,0,3.1,2-4H
0,0,0,0,0,0,2.74,0,0,0,2-4H
4.33,4.33,0,0,0,0,0,4.33,0,0,MAIOR 4H
0,0,0,3.15,0,0,0,0,0,0,2-4H
3,0,0,0,0,0,0,0,0,0,2-4H
0,0,0,6.31,0,0,0,0,0,0,MAIOR 4H
0,0,0,0,0,0,3.02,0,0,0,2-4H
0,0,0,3.08,0,0,0,0,0,0,2-4H
4.73,0,0,0,0,0,0,0,0,0,MAIOR 4H
0,0,0,1.37,0,0,0,0,0,0,1-2H
0,0,0,0,0,0,1.07,0,0,0,1-2H
2.16,0,0,0,0,0,0,0,0,0,2-4H
0,0,0,1.19,0,0,0,0,0,0,1-2H
0,0,0,3.13,0,0,0,0,0,0,2-4H
0,0,0,10.25,0,0,0,0,0,0,MAIOR 4H
0,0,0,0,6.87,0,0,0,0,0,MAIOR 4H
0,0,0,0,0,0,0,3.08,0,0,2-4H
0,0,0,0,0,0,0,0,2.27,0,2-4H
0,0,0,1.04,0,0,0,0,0,0,1-2H
0,0,0,9.98,0,0,0,0,0,0,MAIOR 4H
0,0,0,2.02,0,0,0,0,0,0,2-4H
0,0,0,6.16,0,0,0,0,0,0,MAIOR 4H
0,0,0,0,3.14,0,0,0,0,0,2-4H
2.21,0,0,0,0,0,0,0,0,0,2-4H
3.2,0,0,0,0,0,0,3.2,0,0,2-4H
0,0,0,0,0,0,0,0,5.16,0,MAIOR 4H
0,0,0,0,0,0,6.04,0,0,0,MAIOR 4H
0,0,0,0,0,0,2.94,0,0,2.94,2-4H
0,0,0,11.08,0,0,0,0,0,0,MAIOR 4H
0,0,0,5.3,0,0,0,0,0,0,MAIOR 4H
2.34,0,0,0,0,0,0,0,0,0,2-4H
0,0,0,0,0,0,3.75,0,0,3.75,2-4H
0,0,0,9.17,0,0,0,0,0,0,MAIOR 4H
0,0,0,0,0,0,3.69,0,0,0,2-4H
0,0,0,0,0,0,2.26,0,0,0,2-4H
0,0,0,0,0,0,0,6.15,0,0,MAIOR 4H
0,0,0,1.08,0,0,1.08,0,0,1.08,1-2H
0,0,0,1,0,0,0,0,1,0,1-2H
0,0,0,0,0,0,0,1.58,0,0,1-2H
0,0,5.12,0,0,0,0,0,0,5.12,MAIOR 4H
0,0,0,0,2.26,0,0,0,0,0,2-4H
0,0,0,0,0,0,0,0,6.14,0,MAIOR 4H
0,0,0,0,0,0,0,0,6.11,0,MAIOR 4H
0,0,0,6.89,0,0,0,0,0,0,MAIOR 4H
0,0,0,1.3,0,0,0,0,0,0,1-2H
0,0,0,0,0,0,8.12,0,0,0,MAIOR 4H
1.23,0,0,0,0,0,0,0,0,0,1-2H
4.81,0,0,0,0,0,0,0,0,0,MAIOR 4H
0,0,0,0,0,0,0,0,0,2.18,2-4H
2.19,0,0,0,0,0,2.19,0,0,0,2-4H
0,0,0,2.84,0,0,0,0,2.84,0,2-4H
0,3.76,0,0,0,0,0,0,0,0,2-4H
0,0,0,0,0,0,2.16,0,0,2.16,2-4H
0,0,0,1.1,0,0,0,0,0,0,1-2H
0,0,0,0,0,0,0,0,6.04,0,MAIOR 4H
3.92,0,0,0,0,0,0,0,0,0,2-4H
4.91,0,0,0,0,0,0,0,0,0,MAIOR 4H
0,0,0,4.99,0,4.99,0,0,0,0,MAIOR 4H
0,0,0,3.71,0,0,0,0,0,0,2-4H
0,0,0,0,0,0,3.91,0,0,3.91,2-4H
1.86,0,0,0,0,0,0,1.86,0,0,1-2H
0,0,0,0,2.02,0,0,0,0,0,2-4H
0,0,0,0,0,0,0,1.4,0,0,1-2H
3.94,0,0,0,0,0,3.94,0,0,0,2-4H
0,0,0,0,0,0,0,1.04,0,0,1-2H
3.14,0,0,0,0,0,3.14,0,0,0,2-4H
0,0,0,0,0,0,6.03,0,0,6.03,MAIOR 4H
0,0,0,0,0,0,4.04,0,0,0,MAIOR 4H
0,0,0,0,0,0,2.84,0,0,0,2-4H
0,0,0,0,0,0,5.97,0,0,0,MAIOR 4H
0,0,0,0,0,0,0,0,3.82,0,2-4H
0,0,0,0,0,0,0,2.17,0,0,2-4H
0,0,0,0,0,3.74,0,0,0,0,2-4H
0,4.95,0,0,0,0,0,4.95,0,0,MAIOR 4H
0,0,0,0,0,0,0,0,6.35,0,MAIOR 4H
0,0,0,0,6.2,0,0,0,0,0,MAIOR 4H
0,0,0,0,6.13,0,0,0,0,0,MAIOR 4H
2,0,0,0,0,0,0,0,0,0,1-2H
0,0,0,0,0,0,0,1.8,0,0,1-2H
0,0,0,4.12,0,0,0,0,0,0,MAIOR 4H
0,0,0,0,0,0,0,0,4.03,0,MAIOR 4H
0,0,0,0,0,0,0,0,0,3.95,2-4H
0,0,0,0,0,0,10.79,10.79,0,0,MAIOR 4H
7.06,0,0,0,0,0,0,0,0,0,MAIOR 4H
2.96,0,0,0,0,0,0,0,0,0,2-4H
0,0,0,4.95,0,0,0,0,0,0,MAIOR 4H
0,0,0,3.32,0,0,0,0,0,0,2-4H
0,0,0,0,0,0,2.99,0,0,0,2-4H
0,0,0,0,0,0,0,2.7,2.7,0,2-4H
7.87,0,0,0,0,0,0,0,0,0,MAIOR 4H
1.02,0,0,0,0,0,0,0,0,0,1-2H
0,0,0,0,0,0,0,0,1.99,0,1-2H
0,0,0,0,0,0,6.06,0,0,0,MAIOR 4H
0,0,0,0,0,0,0,2.96,0,0,2-4H
2.81,0,0,0,0,0,0,0,0,0,2-4H
0,0,0,0,0,0,0,0,1.05,0,1-2H
5.95,0,0,0,0,0,0,0,0,0,MAIOR 4H
1.88,0,0,0,0,0,0,0,0,0,1-2H
0,0,0,0,0,0,1.05,0,0,0,1-2H
0,0,0,0,0,0,0,7.13,0,0,MAIOR 4H
0,0,0,0,0,0,0,4.81,0,0,MAIOR 4H
0,0,0,2.04,0,0,0,0,0,0,2-4H
0,0,0,0,0,0,0,1.11,0,0,1-2H
0,0,0,0,2.01,0,0,0,0,0,2-4H
1.08,0,0,0,0,0,0,0,0,0,1-2H
0,0,0,0,0,0,0,4.91,0,0,MAIOR 4H
1.91,0,0,0,0,0,0,1.91,0,0,1-2H
0,0,0,0,0,0,2.95,0,0,0,2-4H
2.99,0,0,0,0,0,2.99,0,0,0,2-4H
0,0,0,0,0,0,1.05,0,0,0,1-2H
0,0,0,0,2.03,0,0,0,0,0,2-4H
0,0,0,0,0,0,2.32,0,0,0,2-4H
0,0,0,3.88,0,0,0,0,0,0,2-4H
0,0,0,0,0,0,0,2.02,0,0,2-4H
0,0,0,0,0,0,2.94,0,0,0,2-4H
0,0,0,3.18,0,0,0,0,0,0,2-4H
